frame,track id,x,y,w,h,gender
51,0,805,554,107,165,female
52,0,804,555,108,163,female
53,0,803,556,109,162,female
54,0,803,556,109,162,female
55,0,802,558,109,160,female
56,0,801,559,109,159,female
57,0,801,558,108,160,female
58,0,801,558,108,160,female
59,0,800,559,109,159,female
60,0,800,559,109,159,female
61,0,801,559,107,160,female
62,0,802,559,106,160,female
63,0,801,559,107,160,female
64,0,801,558,107,161,female
65,0,801,559,107,160,female
66,0,801,559,106,160,female
67,0,800,559,106,160,female
68,0,801,558,104,161,female
69,0,801,559,100,160,female
70,0,801,558,100,162,female
71,0,801,561,100,159,female
72,0,801,561,102,158,female
73,0,801,561,101,158,female
74,0,801,561,102,158,female
75,0,801,561,102,158,female
76,0,802,566,100,154,female
77,0,802,566,101,154,female
78,0,802,565,102,155,female
79,0,802,566,102,154,female
80,0,803,566,100,154,female
81,0,803,566,100,154,female
82,0,802,565,102,155,female
83,0,802,566,102,154,female
84,0,802,566,101,154,female
85,0,802,566,100,154,female
86,0,802,566,101,154,female
87,0,802,566,101,154,female
88,0,802,566,101,154,female
89,0,803,566,101,154,female
90,0,803,566,100,154,female
91,0,804,566,99,154,female
92,0,803,566,101,153,female
93,0,803,565,101,154,female
94,0,802,565,102,154,female
95,0,802,565,102,155,female
96,0,802,567,102,152,female
97,0,802,565,102,155,female
98,0,802,566,102,154,female
99,0,802,567,102,153,female
100,0,803,566,102,153,female
101,0,801,563,103,156,female
102,0,802,562,102,157,female
103,0,802,561,103,158,female
104,0,801,561,104,158,female
105,0,802,561,104,158,female
106,0,802,561,105,157,female
107,0,803,560,104,158,female
108,0,803,559,103,159,female
109,0,803,559,103,159,female
110,0,803,559,104,159,female
111,0,803,560,105,158,female
112,0,803,561,105,157,female
113,0,803,562,104,155,female
114,0,802,563,105,155,female
115,0,802,562,106,155,female
116,0,802,562,107,155,female
117,0,802,563,108,155,female
118,0,801,562,107,156,female
119,0,802,562,105,155,female
120,0,803,563,105,155,female
121,0,804,562,102,155,female
122,0,805,562,100,156,female
123,0,805,563,99,154,female
124,0,804,561,100,156,female
125,0,804,560,103,157,female
126,0,803,558,103,159,female
127,0,801,560,105,158,female
128,0,800,560,104,158,female
129,0,801,560,102,159,female
130,0,799,559,103,161,female
131,0,799,560,103,160,female
132,0,800,560,102,160,female
133,0,800,562,101,158,female
134,0,800,562,102,158,female
135,0,799,563,102,157,female
136,0,798,563,103,156,female
137,0,796,564,103,155,female
138,0,794,562,107,158,female
139,0,794,561,105,158,female
140,0,792,561,105,157,female
141,0,791,563,106,155,female
142,0,790,563,106,154,female
143,0,791,563,106,155,female
144,0,791,565,106,153,female
145,0,790,567,105,151,female
146,0,788,565,106,153,female
147,0,787,567,108,151,female
148,0,787,567,108,151,female
149,0,787,568,108,151,female
150,0,784,568,113,150,female
151,0,787,566,112,153,female
152,0,787,565,109,153,female
153,0,789,565,109,151,female
154,0,790,561,107,156,female
155,0,789,561,106,155,female
156,0,788,560,107,157,female
157,0,788,561,106,156,female
158,0,787,562,108,155,female
159,0,787,561,108,156,female
160,0,786,561,109,156,female
161,0,786,561,110,157,female
162,0,786,561,110,157,female
163,0,785,558,110,159,female
163,2,851,312,75,329,
164,0,788,561,110,157,female
