frame,track id,x,y,w,h,gender
51,0,493,164,72,183,female
52,0,492,163,72,188,female
53,0,495,164,70,184,female
54,0,497,165,65,173,female
55,0,495,165,68,176,female
57,0,498,164,66,176,female
58,0,497,163,68,176,female
59,0,498,164,68,172,female
60,0,499,164,67,175,female
61,0,505,165,67,165,female
62,0,506,163,66,170,female
63,0,508,163,65,171,female
64,0,511,163,64,170,female
65,0,514,165,63,168,female
66,0,518,164,61,170,female
67,0,520,165,61,170,female
68,0,522,165,67,174,female
69,0,523,164,66,176,female
70,0,524,163,69,182,female
71,0,525,161,71,191,female
72,0,534,160,67,180,female
73,0,527,163,71,185,female
74,0,533,162,70,174,female
75,0,535,161,68,174,female
76,0,536,161,68,178,female
77,0,536,162,68,172,female
78,0,537,162,68,176,female
79,0,536,162,69,172,female
80,0,537,163,67,169,female
81,0,537,162,67,177,female
82,0,537,163,68,175,female
83,0,537,164,69,171,female
84,0,536,163,71,175,female
85,0,537,163,71,173,female
86,0,537,165,71,169,female
87,0,537,165,71,169,female
88,0,538,164,71,172,female
89,0,540,165,69,170,female
90,0,539,165,71,172,female
91,0,539,165,71,169,female
92,0,537,164,73,178,female
93,0,538,165,71,169,female
94,0,538,164,72,176,female
95,0,538,165,72,177,female
96,0,539,165,72,168,female
97,0,539,165,72,173,female
98,0,541,165,70,168,female
99,0,542,167,69,163,female
100,0,541,166,71,169,female
101,0,544,164,69,177,female
102,0,544,165,69,175,female
103,0,543,164,71,177,female
104,0,543,164,71,174,female
105,0,544,164,69,174,female
106,0,545,166,68,166,female
107,0,544,165,69,173,female
108,0,543,165,70,175,female
109,0,544,165,67,178,female
110,0,543,165,68,181,female
111,0,544,165,67,172,female
112,0,544,166,67,174,female
113,0,543,164,68,188,female
114,0,544,164,67,185,female
115,0,544,165,67,180,female
115,2,493,162,56,152,female
116,0,544,166,66,178,female
116,2,493,163,55,154,female
117,0,544,163,67,187,female
117,2,493,162,56,155,female
118,0,544,163,68,185,female
118,2,493,162,55,152,female
119,0,545,163,67,185,female
119,2,494,162,53,149,female
120,0,544,163,68,182,female
120,2,493,163,57,150,female
121,0,543,163,69,190,female
121,2,493,162,55,152,female
122,0,544,163,68,185,female
122,2,493,161,55,152,female
123,0,537,165,74,190,female
123,2,494,160,54,150,female
124,0,540,166,72,180,female
124,2,494,161,54,144,female
125,0,541,162,71,190,female
125,2,491,161,57,160,female
126,0,534,165,77,187,female
126,2,494,162,53,148,female
127,0,540,167,72,173,female
127,2,495,164,49,140,female
128,0,539,167,72,176,female
128,2,494,163,51,141,female
129,0,536,165,75,185,female
129,2,494,163,51,141,female
130,0,541,165,71,179,female
130,2,491,161,56,163,female
131,0,540,166,70,178,female
131,2,493,164,50,145,female
132,0,542,164,69,183,female
132,2,492,163,54,161,female
133,0,541,164,71,181,female
133,2,492,163,53,150,female
134,0,539,164,72,179,female
134,2,493,163,52,147,female
135,0,537,164,74,189,female
135,2,492,164,54,147,female
136,0,543,165,67,181,female
136,2,491,163,53,157,female
137,0,543,164,67,182,female
137,2,491,164,53,153,female
138,0,539,166,71,177,female
138,2,490,163,53,149,female
139,0,540,165,71,181,female
139,2,489,162,54,148,female
140,0,538,164,71,191,female
140,2,488,163,57,166,female
141,0,541,164,70,184,female
141,2,491,162,51,147,female
142,0,540,166,71,177,female
142,2,489,165,54,146,female
143,0,537,165,73,185,female
143,2,490,165,52,144,female
144,0,541,164,70,180,female
144,2,489,164,54,152,female
145,0,541,165,69,177,female
145,2,490,163,51,133,female
146,0,541,165,69,180,female
146,2,490,163,49,134,female
147,0,539,165,71,181,female
147,2,490,162,48,135,female
148,0,540,165,70,185,female
148,2,490,161,48,133,female
149,0,538,164,71,192,female
149,2,489,161,49,135,female
150,0,541,165,68,180,female
150,2,488,161,51,148,female
151,0,539,163,72,190,female
151,2,486,161,55,153,female
152,0,541,162,70,182,female
152,2,486,160,53,151,female
153,0,538,162,72,189,female
153,2,487,160,53,148,female
154,0,540,162,71,185,female
154,2,485,161,53,150,female
155,0,539,162,71,189,female
155,2,486,162,52,147,female
156,0,538,162,73,190,female
156,2,486,160,52,149,female
157,0,541,164,70,179,female
157,2,487,162,52,148,female
158,0,540,164,71,180,female
158,2,486,161,53,149,female
159,0,541,165,70,175,female
159,2,486,161,52,147,female
160,0,542,165,69,177,female
160,2,486,162,53,147,female
161,0,542,165,69,180,female
161,2,486,165,55,145,female
162,0,542,166,69,177,female
162,2,487,166,54,143,female
163,0,541,162,69,187,female
163,2,487,161,52,149,female
164,0,541,163,70,182,female
164,2,488,161,52,146,female
165,0,540,163,70,180,female
165,2,488,160,50,138,female
166,0,541,163,66,181,female
166,2,488,160,51,139,female
167,0,540,162,70,177,female
167,2,489,161,50,146,female
168,0,540,163,70,176,female
168,1,584,162,49,150,
168,2,488,162,53,148,female
169,0,540,164,69,174,female
169,2,488,163,53,149,female
170,0,540,164,68,178,female
170,2,487,162,55,152,female
171,0,540,163,68,182,female
171,2,489,163,55,154,female
172,0,541,163,67,181,female
172,2,490,163,52,150,female
173,0,542,162,67,182,female
173,2,490,162,53,155,female
174,0,541,162,68,185,female
174,2,489,162,55,161,female
175,0,541,162,67,182,female
175,2,490,161,54,162,female
176,0,541,161,67,174,female
176,2,492,162,50,147,female
177,0,541,162,68,168,female
177,2,492,163,50,145,female
178,0,541,163,67,170,female
178,2,491,163,51,148,female
179,0,540,163,67,164,female
179,2,492,163,50,143,female
180,0,539,163,68,164,female
180,2,492,163,51,147,female
181,0,538,163,68,167,female
181,2,493,163,51,146,female
182,0,537,163,67,166,female
182,2,493,163,51,145,female
183,0,537,162,65,165,female
183,2,492,163,54,155,female
184,0,536,162,64,158,female
184,2,492,162,53,152,female
185,0,535,162,63,164,female
185,2,491,164,55,157,female
186,0,530,161,65,173,female
186,2,491,164,56,161,female
187,0,530,161,66,170,female
187,2,492,165,56,155,female
188,0,529,162,65,172,female
188,2,493,165,54,156,female
189,0,528,162,65,172,female
189,2,492,164,55,160,female
190,0,526,162,63,172,female
190,2,490,165,59,167,female
191,0,521,164,63,178,female
191,2,490,164,58,168,female
192,0,517,161,62,188,female
192,2,491,163,58,173,female
193,0,516,163,65,182,female
193,2,494,163,58,169,female
194,0,514,163,64,176,female
194,2,491,165,58,165,female
195,0,513,163,60,173,female
196,0,509,163,61,175,female
197,0,503,163,58,173,female
198,0,501,162,61,172,female
199,0,503,161,59,175,female
200,0,501,160,58,175,female
201,0,497,160,61,181,female
202,0,494,161,62,180,female
203,0,493,161,59,175,female
204,0,490,161,58,176,female
205,0,483,161,62,175,female
206,0,482,162,63,170,female
207,0,481,163,64,165,female
208,0,473,163,62,169,female
209,0,473,163,59,171,female
210,0,471,161,57,172,female
211,0,467,162,62,169,female
212,0,466,160,56,171,female
213,0,462,162,56,164,female
214,0,459,158,59,173,female
215,0,456,158,63,170,female
216,0,454,161,59,153,female
218,0,445,161,59,175,female
219,0,442,160,61,175,female
220,0,439,159,60,165,female
221,0,439,162,60,164,female
222,0,438,157,59,168,female
223,0,436,164,60,152,female
224,0,432,163,59,152,female
225,0,428,163,57,152,female
229,0,410,163,54,128,female
231,2,489,165,52,122,female
233,2,488,163,54,133,female
237,0,383,152,60,162,female
257,2,490,161,51,130,female
266,2,493,161,51,138,female
267,2,494,161,50,133,female
268,2,494,159,51,136,female
269,2,496,159,47,132,female
270,2,495,159,49,136,female
271,2,492,163,57,151,female
272,2,495,161,50,137,female
274,2,492,160,60,170,female
280,2,492,161,57,153,female
281,2,493,161,57,154,female
282,2,492,161,60,168,female
283,2,490,161,64,179,female
284,2,492,161,56,152,female
285,2,492,160,57,156,female
286,2,494,161,54,152,female
288,2,495,160,51,142,female
289,2,496,160,50,140,female
290,2,496,160,50,140,female
291,2,496,161,49,133,female
292,2,495,161,52,139,female
293,2,496,160,50,137,female
294,2,494,160,53,151,female
296,2,493,159,55,158,female
297,2,493,160,56,153,female
298,2,492,161,58,152,female
299,2,492,161,57,146,female
301,2,494,161,53,134,female
302,2,494,162,53,132,female
303,2,494,162,54,133,female
304,2,494,162,54,132,female
305,2,494,162,53,132,female
306,2,494,162,53,132,female
307,2,494,162,54,134,female
308,2,493,162,55,133,female
309,2,494,162,54,133,female
310,2,494,162,54,134,female
311,2,494,163,53,134,female
312,2,494,163,52,132,female
313,2,494,162,53,131,female
314,2,493,163,53,136,female
315,2,494,163,53,136,female
316,2,493,164,54,134,female
317,2,493,161,55,135,female
318,2,493,162,57,148,female
319,2,494,163,55,135,female
320,2,495,162,54,135,female
321,2,493,162,56,144,female
322,2,493,164,56,146,female
323,2,495,163,54,135,female
324,2,495,162,52,134,female
325,2,494,163,54,135,female
326,2,494,167,53,144,female
327,2,494,164,54,153,female
328,2,490,163,65,176,female
330,2,493,165,56,156,female
331,2,492,165,58,156,female
332,2,493,164,56,153,female
333,2,493,164,56,151,female
334,2,493,165,58,153,female
336,2,492,162,59,157,female
337,2,492,163,58,158,female
338,2,494,165,55,150,female
339,2,493,164,57,159,female
340,2,492,163,58,153,female
341,2,492,164,58,150,female
342,2,495,166,55,146,female
343,2,496,163,52,150,female
344,2,491,164,62,167,female
345,2,492,163,61,168,female
347,2,494,166,55,152,female
348,2,495,163,53,150,female
349,2,496,162,50,140,female
350,2,495,163,53,148,female
356,2,491,159,62,167,female
387,2,490,163,66,175,female
389,2,457,167,58,164,female
390,2,461,166,54,160,female
391,2,465,166,53,164,female
394,2,478,162,80,194,female
396,2,487,160,60,196,female
397,2,490,163,55,178,female
398,2,494,164,50,169,female
399,2,496,163,55,176,female
400,2,494,162,57,173,female
401,2,491,160,61,172,female
402,2,489,160,65,174,female
403,2,491,161,66,168,female
