frame,track id,x,y,w,h,gender
21,0,77,34,37,72,female
22,0,77,34,38,73,female
23,0,77,34,38,73,female
24,0,77,34,38,73,female
25,0,77,34,38,73,female
26,0,77,34,38,73,female
27,0,77,34,38,73,female
28,0,77,34,38,73,female
29,0,77,34,38,73,female
30,0,77,34,38,73,female
31,0,77,34,37,73,female
32,0,77,34,38,73,female
33,0,77,34,38,73,female
34,0,77,34,38,73,female
35,0,77,34,38,73,female
36,0,77,33,38,73,female
37,0,77,33,38,73,female
38,0,77,33,38,73,female
39,0,77,34,38,73,female
40,0,77,34,38,73,female
41,0,77,34,38,73,female
42,0,77,34,38,73,female
43,0,77,34,38,73,female
44,0,77,34,39,73,female
44,2,674,117,52,142,female
45,0,77,33,39,74,female
46,0,77,33,39,74,female
47,0,77,33,39,74,female
48,0,77,33,39,74,female
49,0,77,34,39,73,female
50,0,77,34,38,72,female
51,0,76,33,39,74,female
52,0,76,33,40,75,female
52,2,676,122,54,139,female
53,0,76,33,39,74,female
54,0,76,33,39,74,female
55,0,76,33,39,74,female
56,0,76,33,39,74,female
57,0,76,33,39,74,female
58,0,76,33,39,74,female
58,2,678,125,51,134,female
59,0,76,33,39,74,female
59,2,677,116,50,142,female
60,0,76,33,39,74,female
60,2,679,117,50,140,female
61,0,76,33,39,74,female
61,2,677,115,52,142,female
62,0,76,33,39,74,female
62,2,677,116,52,141,female
63,0,76,33,39,74,female
63,2,676,114,53,143,female
64,0,76,33,39,74,female
64,2,676,117,53,140,female
65,0,76,33,39,74,female
65,2,676,115,53,142,female
66,0,76,33,39,74,female
66,2,677,112,52,145,female
67,0,76,33,39,74,female
68,0,76,33,39,74,female
69,0,76,34,39,73,female
69,2,676,101,52,154,female
70,0,76,34,39,73,female
70,2,677,96,51,159,female
71,0,76,33,39,74,female
71,2,676,102,52,153,female
72,0,76,33,39,74,female
72,2,677,101,52,154,female
73,0,76,33,39,74,female
73,2,677,103,51,152,female
74,0,76,33,39,74,female
74,2,677,102,51,155,female
75,0,76,33,39,74,female
75,2,678,102,51,155,female
76,0,76,33,39,74,female
76,2,677,102,51,155,female
77,0,76,34,39,73,female
77,2,676,98,53,160,female
78,0,76,34,39,73,female
78,2,676,100,53,158,female
79,0,76,34,39,73,female
79,2,677,101,52,158,female
80,0,76,34,39,73,female
80,2,677,102,52,157,female
81,0,76,34,39,73,female
81,2,678,104,50,156,female
82,0,76,34,39,73,female
82,2,678,107,49,153,female
83,0,76,34,39,73,female
83,2,677,107,51,151,female
84,0,76,34,39,73,female
84,2,678,109,50,150,female
85,0,76,34,39,73,female
85,2,678,112,50,147,female
86,0,77,34,38,74,female
86,2,679,115,50,144,female
87,0,76,34,39,74,female
87,2,678,110,50,147,female
88,0,76,34,39,74,female
88,2,678,111,51,146,female
89,0,76,34,39,74,female
89,2,679,112,50,145,female
90,0,76,34,39,74,female
90,2,679,113,50,144,female
91,0,76,34,39,74,female
91,2,678,110,51,146,female
92,0,76,34,39,74,female
92,2,680,109,50,149,female
93,0,76,34,39,74,female
93,3,752,54,25,68,female
94,0,76,34,39,74,female
95,0,76,34,39,74,female
96,0,76,34,39,74,female
97,0,76,34,39,74,female
98,0,77,34,38,74,female
99,0,77,34,38,74,female
99,4,1083,32,28,104,
100,0,77,34,38,74,female
101,0,77,34,38,74,female
101,4,1089,32,30,108,
102,0,76,34,39,74,female
103,0,76,34,39,74,female
104,0,76,34,39,74,female
105,0,76,34,39,74,female
106,0,76,34,39,74,female
106,3,753,49,24,70,female
107,0,76,34,39,74,female
107,3,753,51,23,69,female
108,0,76,34,39,74,female
108,3,753,50,23,69,female
109,0,76,34,39,73,female
110,0,76,34,39,73,female
111,0,76,34,39,73,female
112,0,76,34,39,74,female
113,0,76,34,39,74,female
113,3,752,46,25,76,female
114,0,76,34,39,74,female
114,3,752,45,25,79,female
115,0,76,34,39,74,female
116,0,76,34,39,74,female
116,3,752,44,24,81,female
117,0,76,34,39,74,female
117,3,752,46,24,78,female
118,0,76,34,39,74,female
118,3,752,46,23,79,female
119,0,76,34,39,74,female
119,3,751,46,25,79,female
